# capturedAtLocal=2026-09-24T17:23:20.4870442+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# orientation=4
# keepX=379
# keepY=353
# occupiedCells=6878
tileId	buildingId	ownerId	terrainFlags
13475	675	0	33792
13476	675	0	33792
13477	675	0	33792
13478	675	0	33792
13490	718	0	33792
13491	718	0	33792
13492	718	0	33792
13493	718	0	33792
13494	718	0	33792
13495	718	0	33792
13674	719	0	33792
13675	719	0	33792
13676	719	0	33792
13677	719	0	33792
13679	677	0	33792
13680	677	0	33792
13681	677	0	33792
13682	677	0	33792
13692	711	0	33792
13693	711	0	33792
13694	711	0	33792
13695	711	0	33792
13703	710	0	33792
13704	710	0	33792
13705	710	0	33792
13706	710	0	33792
13707	675	0	33792
13708	675	0	33792
13709	675	0	33792
13710	675	0	33792
13711	675	0	33792
13723	718	0	33792
13724	718	0	33792
13725	718	0	33792
13726	718	0	33792
13727	718	0	33792
13728	718	0	33792
13909	719	0	33792
13910	719	0	33792
13911	719	0	33792
13912	719	0	33792
13914	677	0	33792
13915	677	0	33792
13916	677	0	33792
13917	677	0	33792
13927	711	0	33792
13928	711	0	33792
13929	711	0	33792
13930	711	0	33792
13938	710	0	33792
13939	710	0	33792
13940	710	0	33792
13941	710	0	33792
13942	675	0	33792
13943	675	0	33792
13944	675	0	33792
13945	675	0	33792
13946	675	0	33792
13958	718	0	33792
13959	718	0	33792
13960	718	0	33792
13961	718	0	33792
13962	718	0	33792
13963	718	0	33792
14146	719	0	33792
14147	719	0	33792
14148	719	0	33792
14149	719	0	33792
14151	677	0	33792
14152	677	0	33792
14153	677	0	33792
14154	677	0	33792
14164	711	0	33792
14165	711	0	33792
14166	711	0	33792
14167	711	0	33792
14175	710	0	33792
14176	710	0	33792
14177	710	0	33792
14178	710	0	33792
14179	675	0	33792
14180	675	0	33792
14181	675	0	33792
14182	675	0	33792
14183	675	0	33792
14195	718	0	33792
14196	718	0	33792
14197	718	0	33792
14198	718	0	33792
14199	718	0	33792
14200	718	0	33792
14390	677	0	33792
14391	677	0	33792
14392	677	0	33792
14393	677	0	33792
14403	711	0	33792
14404	711	0	33792
14405	711	0	33792
14406	711	0	33792
14434	718	0	33792
14435	718	0	33792
14436	718	0	33792
14437	718	0	33792
14438	718	0	33792
14439	718	0	33792
14626	676	0	33792
14627	676	0	33792
14628	676	0	33792
14629	676	0	33792
14654	669	0	32768
14655	669	0	32768
14656	669	0	32768
14657	669	0	32768
14658	669	0	32768
14659	669	0	32768
14660	669	0	32768
14662	703	0	33792
14663	703	0	33792
14664	703	0	33792
14665	703	0	33792
14869	676	0	33792
14870	676	0	33792
14871	676	0	33792
14872	676	0	33792
14883	702	0	33792
14884	702	0	33792
14885	702	0	33792
14886	702	0	33792
14887	701	0	33792
14888	701	0	33792
14889	701	0	33792
14890	701	0	33792
14897	669	0	32768
14898	669	0	32768
14899	669	0	32768
14900	669	0	32768
14901	669	0	32768
14902	669	0	32768
14903	669	0	32768
14905	703	0	33792
14906	703	0	33792
14907	703	0	33792
14908	703	0	33792
15114	676	0	33792
15115	676	0	33792
15116	676	0	33792
15117	676	0	33792
15128	702	0	33792
15129	702	0	33792
15130	702	0	33792
15131	702	0	33792
15132	701	0	33792
15133	701	0	33792
15134	701	0	33792
15135	701	0	33792
15142	669	0	32768
15143	669	0	32768
15144	669	0	32768
15145	669	0	33792
15146	669	0	32768
15147	669	0	32768
15148	669	0	32768
15150	703	0	33792
15151	703	0	33792
15152	703	0	33792
15153	703	0	33792
15156	729	0	33792
15157	729	0	33792
15158	729	0	33792
15159	729	0	33792
15221	2	0	33792
15222	2	0	33792
15223	2	0	33792
15224	2	0	33792
15225	2	0	33792
15226	2	0	33792
15227	2	0	33792
15228	2	0	33792
15361	676	0	33792
15362	676	0	33792
15363	676	0	33792
15364	676	0	33792
15375	702	0	33792
15376	702	0	33792
15377	702	0	33792
15378	702	0	33792
15379	701	0	33792
15380	701	0	33792
15381	701	0	33792
15382	701	0	33792
15389	669	1	0
15390	669	1	0
15391	669	1	1024
15392	669	1	1024
15393	669	1	1024
