"Name","Version","Type","Repository","Commit","Location","Url","Status"
"Ascension-AI-Tournament","3.0.0","plugin","Krarilotus/Ascension-AI-Tournament","d15108d47bf50c358077334d39e095f0d5227720","Ascension-AI-Tournament-3.0.0","https://codeload.github.com/Krarilotus/Ascension-AI-Tournament/zip/d15108d47bf50c358077334d39e095f0d5227720","downloaded"
"Seraphine-and-Verehrer","1.0.0","plugin","Krarilotus/Seraphine","dddd62fa840f36aec9a62a24df6f1f1d13d25b6b","Seraphine-and-Verehrer-1.0.0","https://codeload.github.com/Krarilotus/Seraphine/zip/dddd62fa840f36aec9a62a24df6f1f1d13d25b6b","downloaded"
"aiSwapper","1.1.0","module","UnofficialCrusaderPatch/extension-aiSwapper","f779b9a2bd5a9691b8bbfc9459af019b5ad29f85","aiSwapper-1.1.0","https://codeload.github.com/UnofficialCrusaderPatch/extension-aiSwapper/zip/f779b9a2bd5a9691b8bbfc9459af019b5ad29f85","downloaded"
"aicloader","1.1.1","module","UnofficialCrusaderPatch/extension-aicloader","a6d1a960f9e96f4e815d601ac5dee2a736659da2","aicloader-1.1.1","https://codeload.github.com/UnofficialCrusaderPatch/extension-aicloader/zip/a6d1a960f9e96f4e815d601ac5dee2a736659da2","downloaded"
"aivloader","1.0.0","module","UnofficialCrusaderPatch/extension-aivloader","e5afeb5771b813cf1f594806f16b53c1c3d476c5","aivloader-1.0.0","https://codeload.github.com/UnofficialCrusaderPatch/extension-aivloader/zip/e5afeb5771b813cf1f594806f16b53c1c3d476c5","downloaded"
"files","1.1.0","module","UnofficialCrusaderPatch/extension-files","27b1a19f22c3cc53c1641f593d9f82fa71dfd029","files-1.1.0","https://codeload.github.com/UnofficialCrusaderPatch/extension-files/zip/27b1a19f22c3cc53c1641f593d9f82fa71dfd029","downloaded"
"files","1.2.0","module","UnofficialCrusaderPatch/extension-files","c77b07577aef94d594b2454cbde8a81f9e15e4d4","files-1.2.0","https://codeload.github.com/UnofficialCrusaderPatch/extension-files/zip/c77b07577aef94d594b2454cbde8a81f9e15e4d4","downloaded"
"gmResourceModifier","0.2.0","module","TheRedDaemon/ucp_gmResourceModifier","019039afcb29f3806aa30c7157ae5a1253c06673","gmResourceModifier-0.2.0","https://codeload.github.com/TheRedDaemon/ucp_gmResourceModifier/zip/019039afcb29f3806aa30c7157ae5a1253c06673","downloaded"
"graphicsApiReplacer","1.2.0","module","TheRedDaemon/ucp_graphicsApiReplacer","14ef8ddf5b55d57778c2a7cf7b0e522bc045a191","graphicsApiReplacer-1.2.0","https://codeload.github.com/TheRedDaemon/ucp_graphicsApiReplacer/zip/14ef8ddf5b55d57778c2a7cf7b0e522bc045a191","downloaded"
"maploader","1.0.0","module","UnofficialCrusaderPatch/extension-maploader","658f9e73feb1ff4b4da3e45f236cb2ff0c1d8d32","maploader-1.0.0","https://codeload.github.com/UnofficialCrusaderPatch/extension-maploader/zip/658f9e73feb1ff4b4da3e45f236cb2ff0c1d8d32","downloaded"
"startResources","1.0.0","module","gynt/ucp_startResources","1942ce1e1d55ea4499a997fbecf719f882c9f715","startResources-1.0.0","https://codeload.github.com/gynt/ucp_startResources/zip/1942ce1e1d55ea4499a997fbecf719f882c9f715","downloaded"
"textResourceModifier","0.3.0","module","TheRedDaemon/ucp_textResourceModifier","5ab58faf03c47c16f7b23cb6bc651317edf23728","textResourceModifier-0.3.0","https://codeload.github.com/TheRedDaemon/ucp_textResourceModifier/zip/5ab58faf03c47c16f7b23cb6bc651317edf23728","downloaded"
"ucp2-legacy","2.15.1","module","UnofficialCrusaderPatch/extension-ucp2-legacy","04e826d00f1a5f8a623e15acffc743f115ee7fb1","ucp2-legacy-2.15.1","https://codeload.github.com/UnofficialCrusaderPatch/extension-ucp2-legacy/zip/04e826d00f1a5f8a623e15acffc743f115ee7fb1","downloaded"
"winProcHandler","0.2.0","module","TheRedDaemon/ucp_winProcHandler","aa39902c15dc63fc159ade35ca4907ac334e9724","winProcHandler-0.2.0","https://codeload.github.com/TheRedDaemon/ucp_winProcHandler/zip/aa39902c15dc63fc159ade35ca4907ac334e9724","downloaded"
"running-units","1.0.1","module","gynt/ucp-extension-running-units","add648dfda85f5c6c36e8ca1b2c0e4f798a034f4","running-units-1.0.1","https://codeload.github.com/gynt/ucp-extension-running-units/zip/add648dfda85f5c6c36e8ca1b2c0e4f798a034f4","downloaded"
"rebalancer","1.0.6","module","CIO61/rebalancer","14af1a3239e2a912de6e19b1a406917583acca2e","rebalancer-1.0.6","https://codeload.github.com/CIO61/rebalancer/zip/14af1a3239e2a912de6e19b1a406917583acca2e","downloaded"
"citizens","1.0.0","module","gynt/ucp-extension-citizens","74b4b610212110f4bd21195efb9d35b0d0c90f04","citizens-1.0.0","https://codeload.github.com/gynt/ucp-extension-citizens/zip/74b4b610212110f4bd21195efb9d35b0d0c90f04","downloaded"
